efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA01227056,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227056.pdf,,,,,,
EFTA01227057,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227057.pdf,,,,,,
EFTA01227058,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227058.pdf,,,,,,
EFTA01227059,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227059.pdf,,,,,,
EFTA01227060,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227060.pdf,,,,,,
EFTA01227061,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227061.pdf,,,,,,
EFTA01227062,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227062.pdf,,,,,,
EFTA01227063,9,mp4,video,230227968,219.56,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227063.pdf,False,,,0,,Video file
EFTA01227064,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227064.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227065,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227065.pdf,,,,,,
EFTA01227066,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227066.pdf,,,,,,
EFTA01227067,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227067.pdf,,,,,,
EFTA01227068,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227068.pdf,,,,,,
EFTA01227069,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227069.pdf,,,,,,
EFTA01227070,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227070.pdf,,,,,,
EFTA01227071,9,mp4,video,1788411904,1705.56,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227071.pdf,False,,,0,,Video file
EFTA01227072,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227072.pdf,,,,,,
EFTA01227073,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227073.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227074,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227074.pdf,,,,,,
EFTA01227075,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227075.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227076,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227076.pdf,,,,,,
EFTA01227077,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227077.pdf,,,,,,
EFTA01227078,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227078.pdf,,,,,,
EFTA01227079,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227079.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227080,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227080.pdf,,,,,,
EFTA01227081,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227081.pdf,,,,,,
EFTA01227082,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227082.pdf,,,,,,
EFTA01227083,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227083.pdf,,,,,,
EFTA01227084,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227084.pdf,,,,,,
EFTA01227085,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227085.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227086,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227086.pdf,,,,,,
EFTA01227087,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227087.pdf,,,,,,
EFTA01227088,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227088.pdf,,,,,,
EFTA01227089,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227089.pdf,,,,,,
EFTA01227090,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227090.pdf,,,,,,
EFTA01227091,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227091.pdf,,,,,,
EFTA01229286,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01229286.pdf,,,,,,No Images Produced — native file type unknown
EFTA01229425,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01229425.pdf,,,,,,No Images Produced — native file type unknown
EFTA01239871,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01239871.pdf,,,,,,No Images Produced — native file type unknown
EFTA01240327,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01240327.pdf,,,,,,No Images Produced — native file type unknown
EFTA01241392,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01241392.pdf,,,,,,No Images Produced — native file type unknown
EFTA01241409,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01241409.pdf,,,,,,No Images Produced — native file type unknown
EFTA01242147,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242147.pdf,,,,,,No Images Produced — native file type unknown
EFTA01242167,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242167.pdf,,,,,,No Images Produced — native file type unknown
EFTA01242503,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242503.pdf,,,,,,No Images Produced — native file type unknown
EFTA01242504,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242504.pdf,,,,,,No Images Produced — native file type unknown
EFTA01242505,9,wmv,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242505.pdf,,,,,,
EFTA01244747,9,wmv,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244747.pdf,,,,,,
EFTA01244748,9,wmv,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244748.pdf,,,,,,
EFTA01244749,9,wmv,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244749.pdf,,,,,,
EFTA01244750,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244750.pdf,,,,,,
EFTA01244751,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244751.pdf,,,,,,
EFTA01244752,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244752.pdf,,,,,,
